bounds_fid,city_label,country,green_corr,trees_corr,green_area_corr,trees_area_corr,n_nodes,mean_density,mean_green_dist,mean_trees_dist,cc_green_area_sum_800_nw,cc_trees_area_sum_800_nw
447,Verona,IT,0.276936164639885,0.08818798510051234,-0.3876851416838623,0.10851904863200144,17119,4299.238821380207,135.17145,305.53143,0.65801007,0.022109453
448,Rijeka,HR,0.4585506649114152,-0.10542628842224203,-0.44658292538047284,0.23926197024336252,13299,3345.59814165925,104.999016,122.49328,3.1910655,0.14911993
449,Venezia,IT,0.26408545337220396,0.09896282556949336,-0.05497603445702323,-0.09013866498194262,6526,9349.092368172012,103.57518,169.1569,0.5601952,0.07530547
450,Slatina,RO,0.5397897028898141,-0.19187320453350284,-0.7125825780053359,0.6232047719313115,3668,5153.9464509236095,224.80826,80.22253,1.1118044,0.30884123
451,Magheru,RO,0.5599923803817926,0.09855220339142573,-0.5439625968947502,-0.0704791843978902,4446,5797.691287208106,198.93317,367.87567,1.9354353,0.021347128
452,Padova,IT,0.28896670951035075,-0.1255812389969974,-0.5396544934747362,0.5398421952094375,29708,2880.7223883557085,109.28475,116.802055,0.82419807,0.081912845
453,Milano,IT,0.36923365925695456,0.0346896391121204,-0.5616664361434502,0.059758072078235476,226803,5137.9963149778905,167.32825,226.9196,0.8611106,0.08303708
454,Vigevano,IT,0.7391986255133358,0.13476180089412498,-0.8579870343781812,-0.16738658928359573,5994,2901.794813607168,176.02429,228.64388,0.893947,0.038461033
455,Bordeaux,FR,0.2829476232365569,0.07581645384633573,-0.3892697159253428,-0.1339175541622375,87058,3552.827515274709,181.78293,134.0747,1.0436517,0.13650009
456,Grenoble,FR,0.4245386837411301,-0.02701605217857758,-0.5417366339649021,-0.032803058602307165,41157,4413.294619448504,153.98872,102.34121,1.8435137,0.3081545
457,Mofleni,RO,0.4026794748604681,-0.26057167353088945,-0.5039977024715494,0.42238573062305873,14563,5647.574675157364,296.6335,98.619804,0.8213909,0.2409164
458,Pavia,IT,0.506508023472194,-0.3584123490955825,-0.4734767810676287,0.8104972933962163,7189,2724.10340761984,85.334595,161.34636,2.2628186,0.08503132
459,Cremona,IT,0.43527468530202146,-0.23861040149265494,-0.5358111810186571,0.4361299286623434,6122,3156.153236568697,118.01428,134.75381,1.023193,0.15569226
460,Добрич,BG,0.22807105403886294,0.11320940589824145,-0.448348762827933,-0.11714531140330275,6282,4267.557263849792,227.08879,91.378174,3.7193663,0.18905641
461,Ferrol,ES,0.3515629001232391,0.18041412964933587,-0.3428444783256757,0.06645749980593707,8706,4482.652979773717,104.279,182.92036,6.028271,0.04347476
462,Русе,BG,0.3003216508979964,-0.027499366504366234,-0.33318781356774513,0.03755961932054204,8056,5678.113542842252,158.16882,51.78086,2.0864506,0.54040956
463,Valence,FR,0.3273759448046146,-0.3213280257127751,-0.5247718386155965,0.7750794110848576,14193,2646.357060498955,206.40234,113.023,0.83459866,0.08958569
464,Piacenza,IT,0.43606044230770136,-0.18025848547707665,-0.6387396255728238,0.3419117519393181,7403,4203.181716032025,172.55777,336.24658,1.484623,0.027380353
465,Torino,IT,0.3328286376375051,0.02401982579047485,-0.5955056362642728,0.11342066500382106,70367,6572.625623208674,136.61757,190.8994,0.69861996,0.18703578
466,A Coruña,ES,0.3763046716083081,0.3128008052288836,-0.04747720370705429,-0.217910364911734,19917,8578.020811437975,159.49098,267.40906,3.8097472,0.020150905
467,Asti,IT,0.5907731148635171,-0.10788404261776842,-0.673729333519389,0.6056571256958053,5505,3837.471762885861,170.8817,145.45097,0.77127045,0.06597915
468,Alessandria,IT,0.4285735263219841,-0.11464688499209738,-0.697062320728598,0.45115424205416904,5380,3995.076447593087,137.25229,144.84305,1.124695,0.09013008
469,Ferrara,IT,0.2473728669318196,-0.30032519127782215,-0.4543199651690499,0.7109526522153745,12890,2585.9096871301463,133.61269,79.124344,1.9972062,0.23184156
