bounds_fid,city_label,country,n_nodes,mean_diversity,median_diversity,mean_centrality,mean_density_norm,mean_density_raw,mean_transport_access,pct_mixed_dense,pct_mixed_opportunity,pct_single_dense,pct_single_low,pct_intermediate,pct_development_opportunity,mixed_use_score
335,Bratislava,SK,44589,0.52,0.60,0.40,0.30,4881.05,0.50,17.93,1.16,0.22,21.93,58.77,0.00,0.36
336,Leonding,AT,35245,0.46,0.49,0.49,0.35,3298.63,0.50,18.92,0.95,1.32,19.86,58.95,0.01,0.33
338,Neusäß,DE,49303,0.48,0.50,0.47,0.40,3647.34,0.50,17.62,1.45,2.19,20.05,58.70,0.00,0.33
339,Thalheim bei Wels,AT,9401,0.41,0.40,0.58,0.42,2455.71,0.50,19.34,0.83,1.19,19.18,59.46,0.23,0.31
342,Debrecen,HU,17689,0.45,0.44,0.38,0.31,3347.69,0.50,23.48,0.33,0.21,21.01,54.97,0.00,0.34
346,Schwabing-Freimann,DE,161050,0.49,0.53,0.48,0.30,4933.62,0.50,17.44,1.71,1.25,19.97,59.63,0.18,0.34
347,VVG der Gemeinde Gundelfingen,DE,27664,0.45,0.49,0.43,0.39,3733.41,0.50,18.58,0.52,1.12,21.26,58.52,0.00,0.32
348,Angers,FR,34264,0.45,0.46,0.47,0.29,3060.88,0.50,18.54,1.52,1.20,18.52,60.23,0.11,0.32
349,Győr,HU,9309,0.47,0.51,0.38,0.36,3561.11,0.50,17.94,0.19,0.54,22.47,58.86,0.00,0.33
352,Stephanskirchen,DE,10790,0.45,0.47,0.40,0.34,2230.50,0.50,19.96,1.62,1.97,20.50,55.94,0.00,0.33
354,Wals-Siezenheim,AT,22097,0.49,0.51,0.43,0.32,3285.98,0.50,17.36,1.74,1.94,19.22,59.74,0.00,0.34
357,Budapest,HU,126353,0.49,0.52,0.42,0.25,4796.93,0.50,19.22,1.14,0.82,21.40,57.43,0.12,0.35
358,Tours,FR,36218,0.46,0.47,0.49,0.35,3449.41,0.50,18.61,1.75,2.22,16.47,60.95,0.06,0.33
